Batch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,N/A,1,1,748.542864799499,713.958387374877,25.0758202075958,26733.6737428392,14000,14000,1,764.681028366088
512,1,N/A,1,2,748.810035943985,712.560488939285,26.1286189556121,26743.215569428,14000,14000,1,764.681149482727
512,1,N/A,1,3,750.652002811431,714.381597280502,26.0294916629791,26809.0001004082,14000,14000,1,764.680998802185
512,1,N/A,2,1,500.825242519378,471.838571548461,20.9917628765106,17886.6158042635,9356,14000,0.6682857142857143,519.944140672683
512,1,N/A,2,2,497.200961351394,466.468075752258,22.0685603618621,17757.1771911212,9272,14000,0.6622857142857143,519.944415092468
512,1,N/A,2,3,502.431653738021,471.07815504074,22.2714939117431,17943.9876335007,9336,14000,0.6668571428571428,519.943874597549
512,2,N/A,1,1,724.966704607009,690.631812572479,24.8354456424713,25891.6680216789,14000,14000,1,742.114403486251
512,2,N/A,1,2,723.44627213478,686.941616773605,26.3321800231933,25837.3668619564,14000,14000,1,742.113918066024
512,2,N/A,1,3,730.301117658615,694.32917523384,25.6594960689544,26082.1827735219,14000,14000,1,742.114566802978
512,2,N/A,2,1,488.854504585266,455.989167690277,23.0782790184021,17459.0894494737,9398,14000,0.6712857142857143,509.981497526168
512,2,N/A,2,2,486.991721868515,453.026578664779,23.8058440685272,17392.5614953041,9349,14000,0.6677857142857143,509.981503009796
512,2,N/A,2,3,483.665984392166,452.904739618301,21.8712434768676,17273.785156863,9353,14000,0.6680714285714285,509.981351375579
512,3,N/A,1,1,740.875050544738,701.01509141922,27.981609582901,26459.8232337406,14000,14000,1,758.940448999404
512,3,N/A,1,2,747.22638964653,706.164291620254,28.786485671997,26686.6567730903,14000,14000,1,747.22638964653
512,3,N/A,1,3,733.356152296066,698.052488565445,25.3902533054351,26191.2911534309,14000,14000,1,758.941051244735
512,3,N/A,2,1,480.596362352371,450.602829933166,21.6395843029022,17164.1557982989,9367,14000,0.6690714285714285,502.021162033081
512,3,N/A,2,2,482.185187816619,450.936690807342,22.4070091247558,17220.8995648792,9299,14000,0.6642142857142858,502.021353244781
512,3,N/A,2,3,482.872257709503,453.740866661071,21.0741283893585,17245.4377753394,9328,14000,0.6662857142857143,502.021396160125
1024,1,N/A,1,1,725.361979961395,690.899839878082,24.9796233177185,51811.5699972425,14000,14000,1,743.072520494461
1024,1,N/A,1,2,731.33475112915,695.226832866668,26.1605024337768,52238.196509225,14000,14000,1,743.0722823143
1024,1,N/A,1,3,732.449244976043,696.45383477211,25.8761909008026,52317.8032125745,14000,14000,1,743.072636604309
1024,1,N/A,2,1,510.069201707839,481.061385869979,21.0023012161254,36433.5144077028,9351,14000,0.6679285714285714,525.813264131546
1024,1,N/A,2,2,511.38357257843,481.232935667037,21.8389582633972,36527.3980413164,9347,14000,0.6676428571428571,525.812905311584
1024,1,N/A,2,3,507.372511386871,477.520399808883,21.4752869606018,36240.8936704908,9291,14000,0.6636428571428571,525.813093185424
1024,2,N/A,1,1,792.858441114425,758.135251522064,25.2357757091522,56632.7457938875,14000,14000,1,805.352950572967
1024,2,N/A,1,2,790.743538379669,754.407292127609,26.2796392440795,56481.6813128335,14000,14000,1,805.353138446807
1024,2,N/A,1,3,795.352997779846,760.307659387588,25.3794193267822,56810.9284128461,14000,14000,1,805.35298204422
1024,2,N/A,2,1,530.63393998146,501.494646787643,21.1399917602539,37902.42428439,9357,14000,0.6683571428571429,546.377837419509
1024,2,N/A,2,2,521.586174964904,491.414122343063,21.7974293231964,37256.155354636,9303,14000,0.6645,546.377898693084
1024,2,N/A,2,3,530.524601459503,501.562627792358,20.9915661811828,37894.6143899645,9401,14000,0.6715,546.378033399581
1024,3,N/A,1,1,790.61000585556,756.169088363647,24.9156107902526,56472.1432753971,14000,14000,1,802.365485668182
1024,3,N/A,1,2,789.716685056686,753.504986524581,26.1344106197357,56408.3346469061,14000,14000,1,802.364942550659
1024,3,N/A,1,3,790.679174661636,753.552334308624,26.6078743934631,56477.0839044026,14000,14000,1,802.36629986763
1024,3,N/A,2,1,531.991228818893,503.120995044708,20.8781332969665,37999.3734870638,9353,14000,0.6680714285714285,547.059007883071
1024,3,N/A,2,2,522.005690336227,491.889286994934,21.7341196537017,37286.1207383019,9367,14000,0.6690714285714285,547.059160470962
1024,3,N/A,2,3,524.010423898696,493.587444067001,21.9171507358551,37429.315992764,9392,14000,0.6708571428571428,547.058988571167
512,1,3500,1,1,751.703498840332,713.582695960998,27.1394808292388,26846.5535300118,14000,14000,1,771.727865934372
512,1,3500,1,2,759.040173530578,720.733382701873,27.3094029426574,27108.577626092,14000,14000,1,771.70388174057
512,1,3500,1,3,751.101098299026,713.991978168487,26.3824770450592,26825.0392249652,14000,14000,1,771.77460193634
512,1,3500,2,1,791.908640384674,754.693089008331,27.0392141342163,28282.4514423097,13843,14000,0.9887857142857143,806.651661634445
512,1,3500,2,2,789.393384933471,754.016662120819,25.7654182910919,28192.6208904811,13828,14000,0.9877142857142858,806.651448249816
512,1,3500,2,3,785.126126289367,751.159641742706,24.7640228271484,28040.2187960488,13850,14000,0.9892857142857143,806.651426792144
512,2,3500,1,1,870.445730686187,825.335558414459,31.5269107818603,31087.3475245067,14000,14000,1,890.073515415191
512,2,3500,1,2,856.321501731872,811.961373567581,30.6491601467132,30582.9107761383,14000,14000,1,890.073102235794
512,2,3500,1,3,835.436962366104,790.803912878036,30.8146088123321,29837.034370218,14000,14000,1,890.073064088821
512,2,3500,2,1,854.978801012039,817.178371667861,27.3911485671997,30534.9571790013,13867,14000,0.9905,918.021517276763
512,2,3500,2,2,866.068960189819,827.807622909545,27.5091013908386,30931.0342924935,13832,14000,0.988,918.02148771286
512,2,3500,2,3,854.267194032669,817.256448030471,26.8441891670227,30509.5426440238,13829,14000,0.9877857142857143,918.021842718124
512,3,3500,1,1,818.956367492675,781.509118080139,27.1154973506927,29248.4416961669,14000,14000,1,840.888496398925
512,3,3500,1,2,823.352884769439,784.025374412536,27.8897964954376,29405.4601703371,14000,14000,1,840.888077497482
512,3,3500,1,3,826.59291934967,787.289931774139,28.0304946899414,29521.1756910596,14000,14000,1,840.888753414154
512,3,3500,2,1,778.81703209877,743.311917781829,25.9949522018432,27814.8940035275,13831,14000,0.9879285714285714,807.717758893966
512,3,3500,2,2,791.893570423126,756.246242284774,25.9248206615448,28281.9132293973,13842,14000,0.9887142857142858,807.71801996231
512,3,3500,2,3,776.983896493911,740.82867026329,26.3165946006774,27749.4248747825,13838,14000,0.9884285714285714,807.71734046936
512,1,7000,1,1,777.221831083297,741.929956436157,25.6448493003845,27757.9225386892,14000,14000,1,803.299182891845
512,1,7000,1,2,772.08199262619,737.243750810623,25.3282849788665,27574.3568795067,14000,14000,1,803.299660921096
512,1,7000,1,3,788.03535914421,753.225624561309,25.2618558406829,28144.1199694361,14000,14000,1,803.299031257629
512,1,7000,2,1,754.063595533371,719.251391649246,25.3755898475646,26930.8426976203,13341,14000,0.9529285714285715,782.584339618682
512,1,7000,2,2,740.847676515579,706.643959283828,24.9597914218902,26458.8455898421,13346,14000,0.9532857142857143,782.584568500518
512,1,7000,2,3,767.783580780029,733.667110204696,24.8489916324615,27420.8421707153,13371,14000,0.9550714285714286,782.584512472152
512,2,7000,1,1,783.966475486755,748.662691354751,25.7418694496154,27998.8026959555,14000,14000,1,825.428646326065
512,2,7000,1,2,810.837712049484,776.037571668624,25.2913424968719,28958.489716053,14000,14000,1,825.428704023361
512,2,7000,1,3,801.033101558685,766.31637263298,25.1470732688903,28608.3250556673,14000,14000,1,825.428391695022
512,2,7000,2,1,737.877669095993,703.045107364654,25.4735131263732,26352.7738962854,13317,14000,0.9512142857142857,770.589180231094
