Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,1,512,1,1,404.01,14428.88,6740,14000,0.48142857142857143,426.08
512,1024,1,512,1,2,403.99,14428.33,6749,14000,0.4820714285714286,426.08
512,1024,1,512,1,3,409.64,14629.82,6711,14000,0.47935714285714287,426.04
512,1024,1,512,2,1,366.09,13074.48,6739,14000,0.4813571428571429,380.34
512,1024,1,512,2,2,363.41,12978.87,6788,14000,0.4848571428571429,380.34
512,1024,1,512,2,3,368.37,13156.01,6763,14000,0.4830714285714286,380.34
512,1024,2,512,1,1,367.25,13116.1,6780,14000,0.48428571428571426,376.7
512,1024,2,512,1,2,362.39,12942.54,6834,14000,0.48814285714285716,376.7
512,1024,2,512,1,3,365.87,13066.69,6762,14000,0.483,376.7
512,1024,2,512,2,1,358.56,12805.72,6757,14000,0.48264285714285715,368.28
512,1024,2,512,2,2,354.36,12655.59,6791,14000,0.4850714285714286,368.28
512,1024,2,512,2,3,358.66,12809.44,6780,14000,0.48428571428571426,368.28
512,1024,3,512,1,1,365.05,13037.52,6742,14000,0.4815714285714286,379.43
512,1024,3,512,1,2,364.23,13008.32,6750,14000,0.48214285714285715,379.43
512,1024,3,512,1,3,366.51,13089.69,6764,14000,0.48314285714285715,379.43
512,1024,3,512,2,1,362.78,12956.42,6768,14000,0.48342857142857143,375.02
512,1024,3,512,2,2,345.73,12347.53,6797,14000,0.4855,375.02
512,1024,3,512,2,3,349.68,12488.67,6757,14000,0.48264285714285715,375.02
512,1024,1,1024,1,1,164.896312475204,5889.15401697158,2943,14000,0.21021428571428571,176.002078056335
512,1024,1,1024,1,2,169.045961856842,6037.3557806015,2965,14000,0.2117857142857143,176.001982212066
512,1024,1,1024,1,3,170.242938518524,6080.10494709014,3024,14000,0.216,176.002032756805
512,1024,1,1024,2,1,165.859548568725,5923.55530602591,3256,14000,0.23257142857142857,175.303609132766
512,1024,1,1024,2,2,166.996734380722,5964.16908502578,3198,14000,0.22842857142857143,175.30400776863
512,1024,1,1024,2,3,167.850455999374,5994.65914283479,3224,14000,0.2302857142857143,175.304163217544
512,1024,2,1024,1,1,165.458009719848,5909.21463285173,2762,14000,0.1972857142857143,194.635025501251
512,1024,2,1024,1,2,173.7151389122,6204.11210400717,2889,14000,0.20635714285714285,194.635741472244
512,1024,2,1024,1,3,180.868675231933,6459.59554399762,2994,14000,0.21385714285714286,194.634968757629
512,1024,2,1024,2,1,166.96229481697,5962.9391006061,2937,14000,0.2097857142857143,176.211803436279
512,1024,2,1024,2,2,167.774808883667,5991.95746013096,2903,14000,0.20735714285714285,176.2116086483
512,1024,2,1024,2,3,169.203093767166,6042.96763454164,2948,14000,0.21057142857142858,176.211835861206
512,1024,3,1024,1,1,165.652064561843,5916.14516292299,2714,14000,0.19385714285714287,175.465598583221
512,1024,3,1024,1,2,166.779249906539,5956.40178237642,2735,14000,0.19535714285714287,175.465195417404
512,1024,3,1024,1,3,169.956942558288,6069.89080565316,2765,14000,0.1975,175.465491771698
512,1024,3,1024,2,1,168.613856792449,6021.92345687321,2484,14000,0.17742857142857144,178.977699279785
512,1024,3,1024,2,2,170.516469717025,6089.8739184652,2496,14000,0.1782857142857143,178.977949857711
512,1024,3,1024,2,3,172.609238624572,6164.61566516331,2536,14000,0.18114285714285713,178.977772951126
512,1024,1,1536,1,1,164.820106506347,5886.4323752267,3012,14000,0.21514285714285714,174.549885272979
512,1024,1,1536,1,2,165.371646404266,5906.13022872379,2961,14000,0.2115,174.55057477951
512,1024,1,1536,1,3,168.472320318222,6016.86858279364,3029,14000,0.21635714285714286,174.550075769424
512,1024,1,1536,2,1,165.305831909179,5903.77971104213,3258,14000,0.2327142857142857,176.138157844543
512,1024,1,1536,2,2,169.855841398239,6066.28004993711,3282,14000,0.23442857142857143,176.137889623641
512,1024,1,1536,2,3,169.623001337051,6057.96433346612,3268,14000,0.23342857142857143,176.138092279434
512,1024,2,1536,1,1,165.157749652862,5898.4910590308,3090,14000,0.22071428571428572,177.125419616699
512,1024,2,1536,1,2,169.483852863311,6052.99474511827,3134,14000,0.22385714285714287,177.125434398651
512,1024,2,1536,1,3,170.238642930984,6079.95153324944,3144,14000,0.22457142857142856,177.12595796585
512,1024,2,1536,2,1,165.338083982467,5904.93157080241,3282,14000,0.23442857142857143,174.00529718399
512,1024,2,1536,2,2,167.718398094177,5989.94278907775,3316,14000,0.23685714285714285,174.005418539047
512,1024,2,1536,2,3,168.026748895645,6000.95531770161,3315,14000,0.2367857142857143,174.005656003952
512,1024,3,1536,1,1,163.04298210144,5822.96364648001,3089,14000,0.22064285714285714,173.124762296676
512,1024,3,1536,1,2,167.025441884994,5965.19435303551,3085,14000,0.22035714285714286,173.125503540039
512,1024,3,1536,1,3,167.264771938323,5973.74185494014,3103,14000,0.22164285714285714,173.124604463577
512,1024,3,1536,2,1,164.199941396713,5864.28362131118,3212,14000,0.22942857142857143,175.674331188201
512,1024,3,1536,2,2,168.053831815719,6001.92256484712,3254,14000,0.23242857142857143,175.673196077346
512,1024,3,1536,2,3,168.647061109542,6023.10932534081,3344,14000,0.23885714285714285,175.674551010131
512,1024,1,2048,1,1,166.7,5953.49,3145,14000,0.22464285714285714,173.74
512,1024,1,2048,1,2,163.97,5856.02,3052,14000,0.218,173.74
512,1024,1,2048,1,3,168.03,6001.1,3189,14000,0.22778571428571429,173.74
512,1024,1,2048,2,1,166.99,5964.04,3395,14000,0.2425,173.1
512,1024,1,2048,2,2,163.04,5822.8,3273,14000,0.2337857142857143,173.1
512,1024,1,2048,2,3,166.83,5958.12,3342,14000,0.2387142857142857,173.1
512,1024,2,2048,1,1,167.73,5990.37,3124,14000,0.22314285714285714,172.75
512,1024,2,2048,1,2,162.7,5810.74,3064,14000,0.21885714285714286,172.75
512,1024,2,2048,1,3,165.33,5904.66,3088,14000,0.22057142857142858,172.75
512,1024,2,2048,2,1,186.08,6645.76,3239,14000,0.23135714285714284,192.97
512,1024,2,2048,2,2,180.75,6455.38,3208,14000,0.22914285714285715,192.97
512,1024,2,2048,2,3,179.03,6393.75,3238,14000,0.2312857142857143,192.97
512,1024,3,2048,1,1,180.09,6431.79,3253,14000,0.23235714285714285,186.73
512,1024,3,2048,1,2,168.68,6024.42,3045,14000,0.2175,186.73
512,1024,3,2048,1,3,167.69,5988.77,3291,14000,0.23507142857142857,186.73
512,1024,3,2048,2,1,205.38,7335.17,3067,14000,0.21907142857142858,212.99
512,1024,3,2048,2,2,200.01,7143.36,2831,14000,0.2022142857142857,212.99
512,1024,3,2048,2,3,197.3,7046.41,2916,14000,0.2082857142857143,212.99
512,1024,1,2560,1,1,168.153678178787,6005.48850638525,2804,14000,0.2002857142857143,179.795511960983
512,1024,1,2560,1,2,170.031067371368,6072.53812040601,2813,14000,0.20092857142857143,179.893699884414
512,1024,1,2560,1,3,173.161820411682,6184.35072898864,2828,14000,0.202,179.879771232604
512,1024,1,2560,2,1,168.663212537765,6023.68616206305,2998,14000,0.21414285714285713,180.080159187316
512,1024,1,2560,2,2,170.579041957855,6092.10864135197,3024,14000,0.216,180.080202579498
512,1024,1,2560,2,3,174.823273181915,6243.68832792554,3047,14000,0.21764285714285714,180.080235004425
512,1024,2,2560,1,1,169.663302421569,6059.4036579132,2974,14000,0.21242857142857144,179.337620973587
512,1024,2,2560,1,2,167.853494167327,5994.76764883313,2966,14000,0.21185714285714285,179.338134050369
512,1024,2,2560,1,3,172.740904808044,6169.31802885873,3013,14000,0.21521428571428572,179.337888240814
512,1024,2,2560,2,1,169.933900356292,6069.06786986759,3143,14000,0.2245,179.904049158096
512,1024,2,2560,2,2,170.909267425537,6103.90240805489,3130,14000,0.22357142857142856,179.903058290481
512,1024,2,2560,2,3,172.534883737564,6161.96013348443,3150,14000,0.225,179.9035115242
512,1024,3,2560,1,1,169.36858010292,6048.87786081859,3037,14000,0.21692857142857142,176.873471021652
512,1024,3,2560,1,2,166.091438055038,5931.83707339423,3034,14000,0.21671428571428572,176.873531341552
512,1024,3,2560,1,3,171.5309882164,6126.10672201429,3016,14000,0.21542857142857144,176.873335123062
512,1024,3,2560,2,1,168.713794708251,6025.49266815185,3248,14000,0.232,179.472917079925
512,1024,3,2560,2,2,169.430668354034,6051.09529835837,3205,14000,0.22892857142857143,179.473303318023
512,1024,3,2560,2,3,173.355573415756,6191.27047913415,3291,14000,0.23507142857142857,179.472464323043
512,1024,1,3072,1,1,168.29,6010.33,3246,14000,0.23185714285714284,173.61
512,1024,1,3072,1,2,160.25,5723.15,3143,14000,0.2245,173.61
512,1024,1,3072,1,3,161.61,5771.83,3114,14000,0.22242857142857142,173.61
512,1024,1,3072,2,1,169.55,6055.41,3431,14000,0.24507142857142858,175.71
512,1024,1,3072,2,2,164.78,5884.82,3380,14000,0.24142857142857144,175.71
512,1024,1,3072,2,3,168.23,6008.37,3400,14000,0.24285714285714285,175.71
512,1024,2,3072,1,1,170.73,6097.58,3148,14000,0.22485714285714287,180.96
512,1024,2,3072,1,2,165.24,5901.58,3044,14000,0.21742857142857142,180.96
512,1024,2,3072,1,3,173.9,6210.57,3091,14000,0.22078571428571428,180.96
512,1024,2,3072,2,1,170.98,6106.46,3412,14000,0.24371428571428572,177
512,1024,2,3072,2,2,165.5,5910.85,3239,14000,0.23135714285714284,177
512,1024,2,3072,2,3,170.31,6082.57,3342,14000,0.2387142857142857,177
512,1024,3,3072,1,1,168.79,6028.13,3177,14000,0.22692857142857142,174.15
512,1024,3,3072,1,2,163.96,5855.8,3088,14000,0.22057142857142858,174.15
512,1024,3,3072,1,3,166.83,5958.24,3110,14000,0.22214285714285714,174.15
512,1024,3,3072,2,1,169.94,6069.35,3362,14000,0.24014285714285713,175.97
512,1024,3,3072,2,2,165.23,5901.06,3283,14000,0.2345,175.97
512,1024,3,3072,2,3,167.67,5988.28,3343,14000,0.2387857142857143,175.96
1024,1024,1,512,1,1,355.07,25362.17,6777,14000,0.4840714285714286,365.93
1024,1024,1,512,1,2,353.52,25251.58,6797,14000,0.4855,365.93
1024,1024,1,512,1,3,356.29,25449.48,6791,14000,0.4850714285714286,365.93
1024,1024,1,512,2,1,346.15,24725.31,6795,14000,0.4853571428571429,359.69
1024,1024,1,512,2,2,348.65,24903.87,6815,14000,0.48678571428571427,359.69
1024,1024,1,512,2,3,348.4,24885.67,6704,14000,0.47885714285714287,359.69
1024,1024,2,512,1,1,350.12,25008.92,6748,14000,0.482,365.71
1024,1024,2,512,1,2,351.58,25112.86,6823,14000,0.4873571428571429,365.71
1024,1024,2,512,1,3,355.72,25408.9,6795,14000,0.4853571428571429,365.71
1024,1024,2,512,2,1,343.04,24502.66,6741,14000,0.4815,355.16
1024,1024,2,512,2,2,340.96,24354.01,6675,14000,0.4767857142857143,355.16
1024,1024,2,512,2,3,344.1,24578.89,6719,14000,0.4799285714285714,355.16
1024,1024,3,512,1,1,366.96,26211.75,6810,14000,0.48642857142857143,382.33
1024,1024,3,512,1,2,366.47,26176.65,6769,14000,0.4835,382.33
1024,1024,3,512,1,3,368.07,26290.55,6772,14000,0.4837142857142857,382.33
1024,1024,3,512,2,1,370.75,26482.12,6755,14000,0.4825,392.9
1024,1024,3,512,2,2,373.51,26679.11,6784,14000,0.4845714285714286,392.9
1024,1024,3,512,2,3,382.63,27330.56,6727,14000,0.4805,392.9
1024,1024,1,1024,1,1,166.521929264068,11894.423518862,3140,14000,0.22428571428571428,175.37087225914
