Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,256,1,N/A,1,1,346.187406539917,12363.8359478541,6425,14000,0.4589285714285714,360.062266111373
512,256,1,N/A,1,2,336.696495056152,12024.874823434,6281,14000,0.4486428571428571,360.042552709579
512,256,1,N/A,1,3,350.77914905548,12527.8267519814,6534,14000,0.4667142857142857,360.065624952316
512,256,1,N/A,2,1,324.533319234848,11590.4756869588,5776,14000,0.4125714285714286,336.093172073364
512,256,1,N/A,2,2,320.157037973403,11434.1799276215,5818,14000,0.4155714285714286,336.093287706375
512,256,1,N/A,2,3,328.896095275878,11746.2891169956,5833,14000,0.41664285714285715,336.093318462371
512,256,2,N/A,1,1,347.370682001113,12406.095785754,6655,14000,0.47535714285714287,355.117754220962
512,256,2,N/A,1,2,339.415745496749,12121.9909105982,6655,14000,0.47535714285714287,355.117242097854
512,256,2,N/A,1,3,341.714928150177,12204.104576792,6716,14000,0.4797142857142857,355.118508815765
512,256,2,N/A,2,1,319.57586979866,11413.4239213807,6329,14000,0.45207142857142857,329.985862970352
512,256,2,N/A,2,2,318.916833877563,11389.8869241986,6321,14000,0.4515,329.984276533126
512,256,2,N/A,2,3,321.241136074066,11472.8977169309,6364,14000,0.45457142857142857,329.986208200454
512,256,3,N/A,1,1,340.309633493423,12153.9154819079,6760,14000,0.4828571428571429,350.453214645385
512,256,3,N/A,1,2,340.79046177864,12171.0879206657,6745,14000,0.48178571428571426,350.453226566314
512,256,3,N/A,1,3,341.105066299438,12182.3237964085,6774,14000,0.4838571428571429,350.453018426895
512,256,3,N/A,2,1,317.993867635726,11356.9238441331,6193,14000,0.44235714285714284,328.626386404037
512,256,3,N/A,2,2,317.691154241561,11346.1126514843,6171,14000,0.4407857142857143,328.625880241394
512,256,3,N/A,2,3,318.385276556015,11370.9027341433,6203,14000,0.44307142857142856,328.626590728759
512,512,1,N/A,1,1,277.288252592086,9903.15187828881,5047,14000,0.3605,291.398928165435
512,512,1,N/A,1,2,276.755778551101,9884.13494825363,4081,14000,0.2915,291.417123794555
512,512,1,N/A,1,3,281.851223945617,10066.1151409149,5120,14000,0.3657142857142857,291.436095952987
512,512,1,N/A,2,1,257.497903347015,9196.35369096483,4716,14000,0.33685714285714285,291.398928165435
512,512,1,N/A,2,2,257.710378408432,9203.94208601543,4699,14000,0.33564285714285713,291.417123794555
512,512,1,N/A,2,3,262.392777442932,9371.17062296186,4756,14000,0.3397142857142857,291.436095952987
512,512,2,N/A,1,1,282.021399259567,10072.1928306988,5332,14000,0.38085714285714284,288.682152986526
512,512,2,N/A,1,2,278.94679737091,9962.38562038966,5300,14000,0.37857142857142856,288.682117462158
512,512,2,N/A,1,3,278.253496170043,9937.62486321585,5318,14000,0.37985714285714284,288.681870937347
512,512,2,N/A,2,1,260.099116325378,9289.2541544778,5073,14000,0.3623571428571429,270.111554145813
512,512,2,N/A,2,2,260.197098255157,9292.75350911276,5059,14000,0.3613571428571429,270.112129688262
512,512,2,N/A,2,3,262.351086854934,9369.68167339052,5205,14000,0.3717857142857143,270.112261772155
512,512,3,N/A,1,1,282.382715463638,10085.0969808442,5361,14000,0.38292857142857145,291.44784784317
512,512,3,N/A,1,2,280.473113059997,10016.8968949999,5241,14000,0.37435714285714283,291.448699235916
512,512,3,N/A,1,3,283.527731180191,10125.9903992925,5365,14000,0.38321428571428573,291.448462486267
512,512,3,N/A,2,1,257.216043233871,9186.28725835255,5101,14000,0.3643571428571429,267.141319990158
512,512,3,N/A,2,2,260.047546625137,9287.41237946919,5152,14000,0.368,267.140073776245
512,512,3,N/A,2,3,259.775078296661,9277.6813677379,5232,14000,0.3737142857142857,267.139611005783
512,768,1,N/A,1,1,203.158903598785,7255.67512852805,3977,14000,0.2840714285714286,211.137868404388
512,768,1,N/A,1,2,202.024161577224,7215.14862775802,4034,14000,0.28814285714285715,211.13782954216
512,768,1,N/A,1,3,202.9901034832,7249.64655297143,4053,14000,0.2895,211.137529850006
512,768,1,N/A,2,1,186.325857639312,6654.49491568974,3866,14000,0.27614285714285713,195.802083015441
512,768,1,N/A,2,2,178.262943029403,6366.53367962156,3700,14000,0.2642857142857143,195.801831960678
512,768,1,N/A,2,3,181.054096460342,6466.21773072651,3796,14000,0.27114285714285713,195.802174806594
