Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,512,128,1,1,396.09,373,15.66,0.13,14146.2,6781,14000,0.4843571428571429,412.08
512,1,512,128,1,2,388.45,363.79,16.6,0.13,13873.38,6772,14000,0.4837142857142857,412.06
512,1,512,128,1,3,392.86,367.51,16.97,0.13,14030.86,6683,14000,0.47735714285714287,411.93
512,1,512,128,2,1,378.23,355.75,15.49,0.1,13508.19,6758,14000,0.4827142857142857,395.17
512,1,512,128,2,2,381.37,356.32,17.1,0.1,13620.32,6773,14000,0.48378571428571426,395.17
512,1,512,128,2,3,372.87,350.35,15.51,0.09,13316.69,6693,14000,0.4780714285714286,395.17
512,2,512,128,1,1,377.37,354.67,15.61,0.1,13477.61,6690,14000,0.47785714285714287,403.68
512,2,512,128,1,2,391.62,367.82,16.4,0.1,13986.54,6773,14000,0.48378571428571426,403.68
512,2,512,128,1,3,390.46,365.58,16.88,0.1,13944.86,6763,14000,0.4830714285714286,403.68
512,2,512,128,2,1,369.08,346.31,15.75,0.1,13181.34,6724,14000,0.48028571428571426,387.8
512,2,512,128,2,2,373.27,349.17,16.71,0.1,13330.91,6714,14000,0.4795714285714286,387.8
512,2,512,128,2,3,375.47,349.77,17.49,0.1,13409.81,6761,14000,0.48292857142857143,387.8
512,3,512,128,1,1,386.07,363.03,15.85,0.1,13788.25,6732,14000,0.48085714285714287,405.69
512,3,512,128,1,2,387.47,363.91,16.25,0.1,13838.36,6771,14000,0.48364285714285715,405.69
512,3,512,128,1,3,396.3,370.25,17.61,0.09,14153.42,6749,14000,0.4820714285714286,405.69
512,3,512,128,2,1,384.49,360.88,16.05,0.1,13731.79,6794,14000,0.48528571428571426,396.52
512,3,512,128,2,2,376.75,353.08,16.39,0.1,13455.44,6656,14000,0.4754285714285714,396.51
512,3,512,128,2,3,379.11,354.55,16.75,0.1,13539.74,6679,14000,0.4770714285714286,396.51
512,1,1024,256,1,1,150.831431150436,129.866360664367,14.2158987522125,0.131298542022705,5881.20153120585,2389,14000,0.17064285714285715,170.784685611724
512,1,1024,256,1,2,164.673642873764,140.301373720169,16.4052858352661,0.144732475280761,5881.20153120585,2528,14000,0.18057142857142858,170.807142972946
512,1,1024,256,1,3,158.654526472091,135.823982477188,15.6231617927551,0.126001358032226,5666.23308828898,2463,14000,0.17592857142857143,170.796580314636
512,1,1024,256,2,1,144.491864681243,124.588550567626,13.9903945922851,0.0895159244537353,5160.42373861585,2502,14000,0.17871428571428571,168.719338655471
512,1,1024,256,2,2,163.559829235076,139.77514386177,16.4991459846496,0.110773563385009,5841.42247268131,2728,14000,0.19485714285714287,168.720072746276
