Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,1,512,1,1,304.45,285.62,12.49,0.09,13237.1,5578,11667,0.47810062569640865,451.93
512,1024,1,512,1,2,302.92,283.66,12.69,0.08,13170.3,5517,11667,0.47287220365132426,451.94
512,1024,1,512,1,3,303.8,284.75,12.57,0.09,13208.68,5654,11667,0.48461472529356303,451.93
512,1024,1,512,2,1,295.83,277.13,12.44,0.09,12862.02,5526,11667,0.47364361018256623,441.59
512,1024,1,512,2,2,292.8,272.73,13.28,0.08,12730.59,5463,11667,0.46824376446387245,441.59
512,1024,1,512,2,3,291.81,272.74,12.63,0.09,12687.61,5492,11667,0.4707294077312077,441.59
512,1024,2,512,1,1,308.99,290.13,12.48,0.09,13434.33,5507,11667,0.4720150852832776,457.06
512,1024,2,512,1,2,317.71,298.13,12.92,0.08,13813.45,5551,11667,0.4757864061026828,465.2
512,1024,2,512,1,3,301.88,282.79,12.6,0.09,13125.11,5430,11667,0.4654152738493186,457.09
512,1024,2,512,2,1,305.15,286.19,12.6,0.09,13267.43,5601,11667,0.48007199794291594,449.01
512,1024,2,512,2,2,297.79,278.14,13.01,0.09,12947.29,5467,11667,0.4685866118110911,442.42
512,1024,2,512,2,3,301.25,282.17,12.63,0.09,13097.62,5534,11667,0.47432930487700353,449.01
512,1024,3,512,1,1,317.57,298.71,12.48,0.09,13807.4,5615,11667,0.4812719636581812,465.2
512,1024,3,512,1,2,311.17,291.4,13.03,0.09,13529.13,5550,11667,0.47570069426587813,457.06
512,1024,3,512,1,3,312.47,293.33,12.61,0.08,13585.54,5517,11667,0.47287220365132426,465.19
512,1024,3,512,2,1,294.41,275.46,12.59,0.08,12800.64,5500,11667,0.471415102425645,442.42
512,1024,3,512,2,2,297.62,278.19,12.82,0.08,12940.15,5443,11667,0.4665295277277792,449.01
512,1024,3,512,2,3,297.04,277.94,12.65,0.09,12914.67,5513,11667,0.4725293563041056,442.42
512,1024,1,1024,1,1,136.15,117.36,12.84,0.08,5919.4,2264,11667,0.1940515985257564,277.05
512,1024,1,1024,1,2,141.23,121.28,13.51,0.09,6140.63,2184,11667,0.18719465158138338,280.01
