Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,512,128,1,1,318.782361268997,296.473648786544,14.5847413539886,0.0914020538330078,13860.1026638694,5435,11667,0.4658438330333419,468.279427766799
512,1,512,128,1,2,315.994949102401,294.428969860076,14.2826368808746,0.0962188243865966,13738.9108305392,5379,11667,0.46104397017228077,468.278217554092
512,1,512,128,1,3,327.606225967407,302.835056781768,16.0600762367248,0.106611013412475,14243.7489551046,5556,11667,0.4762149652867061,468.283397197723
512,1,512,128,2,1,304.140220403671,283.014476060867,14.025371313095,0.0907602310180664,13223.4878436378,5353,11667,0.4588154624153596,461.277095556259
512,1,512,128,2,2,310.082361221313,288.559541463851,14.3093025684356,0.0926699638366699,13481.841792231,5463,11667,0.46824376446387245,461.28001499176
512,1,512,128,2,3,315.284539222717,293.117602825164,14.5506319999694,0.103775024414062,13708.0234444659,5542,11667,0.47501499957144083,461.278839826583
512,2,512,128,1,1,311.534800291061,290.743693828582,13.7907848358154,0.0892274379730224,13544.9913170026,5474,11667,0.46918659466872376,462.925174713134
512,2,512,128,1,2,308.456790447235,287.54856967926,13.78768825531,0.0902864933013916,13411.1648020537,5418,11667,0.46438673180766266,462.928339481353
512,2,512,128,1,3,312.336760520935,291.345862150192,13.8436365127563,0.0930612087249755,13579.8591530841,5470,11667,0.4688437473215051,462.924104213714
512,2,512,128,2,1,302.420797824859,282.833419084548,13.0789716243743,0.0902242660522461,13148.7303402112,5451,11667,0.4672152224222165,453.78326177597
512,2,512,128,2,2,302.929306983947,282.194863319397,13.7920348644256,0.0894498825073242,13170.8394340846,5392,11667,0.4621582240507414,453.784492254257
512,2,512,128,2,3,305.54386544227,285.822400331497,13.1864354610443,0.0896155834197998,13284.5158887946,5419,11667,0.4644724436444673,453.783799886703
512,3,512,128,1,1,312.61574077606,292.571503400802,13.2991032600402,0.0875129699707031,13591.98872939,5459,11667,0.4679009171166538,461.437296390533
512,3,512,128,1,2,312.292983293533,291.605655670166,13.7368800640106,0.0884263515472412,13577.955795371,5452,11667,0.4673009342590212,461.441847085952
512,3,512,128,1,3,311.000343084335,290.374863147735,13.7317197322845,0.0893867015838623,13521.754047145,5478,11667,0.4695294420159424,461.435924053192
512,3,512,128,2,1,307.89744734764,288.04609799385,13.2820930480957,0.0882623195648193,13386.8455368539,5460,11667,0.4679866289534585,456.639020204544
512,3,512,128,2,2,314.333596467971,293.674288034439,13.7242543697357,0.0908312797546386,13666.6781073031,5495,11667,0.47098654324162165,456.638846397399
512,3,512,128,2,3,312.932272434234,292.951620101928,13.3843696117401,0.088395357131958,13605.7509754015,5528,11667,0.4738150338561755,456.63997387886
512,1,1024,256,1,1,84.06,64.56,13.57,0.08,3654.81,1331,11667,0.11408245478700609,222.79
512,1,1024,256,1,2,84.98,65.64,13.45,0.08,3694.83,1350,11667,0.11571097968629468,222.79
512,1,1024,256,1,3,84.59,65.11,13.47,0.08,3677.82,1293,11667,0.1108254049884289,222.79
512,1,1024,256,2,1,84.94,65.24,13.68,0.08,3692.98,1427,11667,0.12231079112025371,223.63
512,1,1024,256,2,2,84.44,64.99,13.54,0.08,3671.29,1389,11667,0.11905374132167652,223.63
512,1,1024,256,2,3,84.27,64.66,13.59,0.08,3664.07,1398,11667,0.11982514785291849,223.63
512,2,1024,256,1,1,84.17,64.34,13.48,0.11,3659.55,1229,11667,0.10533984743293048,224.44
512,2,1024,256,1,2,84.74,65.19,13.26,0.11,3684.18,1241,11667,0.10636838947458645,224.43
512,2,1024,256,1,3,85.17,65.7,13.51,0.08,3702.84,1321,11667,0.11322533641895946,223.47
512,2,1024,256,2,1,83.82,64.53,13.42,0.08,3644.26,1374,11667,0.11776806376960658,224.88
512,2,1024,256,2,2,84.77,65.41,13.5,0.08,3685.82,1382,11667,0.11845375846404388,224.88
512,2,1024,256,2,3,84.44,64.9,13.59,0.08,3671.35,1393,11667,0.11939658866889517,223.66
512,3,1024,256,1,1,85.46,65.77,13.69,0.08,3715.84,1274,11667,0.10919688008914032,223.47
512,3,1024,256,1,2,83.58,64.24,13.47,0.08,3633.71,1320,11667,0.11313962458215479,223.47
512,3,1024,256,1,3,84.19,64.14,13.54,0.12,3660.62,1221,11667,0.10465415273849318,224.42
512,3,1024,256,2,1,85.7,65.82,13.86,0.08,3726.03,1380,11667,0.11828233479043455,223.66
512,3,1024,256,2,2,82.41,63.46,13.23,0.08,3582.9,1311,11667,0.11236821805091284,223.66
