Batch Size,Trial #,Cache Size,Fetch Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s),Timestamp
512,1,2048,2048,0,1,1,101.20996,83.5312252,11.93431807,0.1027958393,4400.433043,1304,11667,11.177%,243.1506286,
512,1,2048,2048,0,1,2,104.7070558,86.19737935,12.47745991,0.06883335114,4552.480687,1373,11667,11.768%,243.1586015,
512,1,2048,2048,0,1,3,102.066916,84.33514237,11.98295021,0.07271432877,4437.692,1285,11667,11.014%,243.1584001,
512,1,2048,2048,0,2,1,122.1385996,105.1737258,11.82934427,0.04402971268,5310.373897,1430,11667,12.257%,292.7636602,
512,1,2048,2048,0,2,2,125.072824,107.4101677,12.24350858,0.04448533058,5437.94887,1813,11667,15.540%,292.7692673,
512,1,2048,2048,0,2,3,149.8580453,132.7765832,11.91042995,0.04333090782,6515.567189,1428,11667,12.240%,292.7631104,
512,2,2048,2048,0,1,1,98.54869843,81.06401491,12.12855387,0.04224801064,4284.726018,1393,11667,11.940%,239.0085039,
512,2,2048,2048,0,1,2,101.9969969,84.13099575,12.44119859,0.04520845413,4434.652038,1435,11667,12.300%,239.0092127,
512,2,2048,2048,0,1,3,100.0809019,82.52350926,12.21043634,0.04266548157,4351.343559,1439,11667,12.334%,239.0144246,
512,2,2048,2048,0,2,1,105.8056695,88.28844857,12.18260789,0.04362607002,4600.246502,1530,11667,13.114%,245.106765,
512,2,2048,2048,0,2,2,106.59693,88.64918923,12.4673605,0.04501414299,4634.649132,1565,11667,13.414%,245.1104772,
512,2,2048,2048,0,2,3,103.9189889,86.46877623,12.20363235,0.04355478287,4518.216911,1520,11667,13.028%,245.1038103,
512,3,2048,2048,0,1,1,104.0580478,86.51265264,12.19299126,0.0447063446,4524.262947,1570,11667,13.457%,242.2868373,
512,3,2048,2048,0,1,2,104.5101101,86.5340755,12.46666813,0.04389381409,4543.917832,1525,11667,13.071%,242.2870905,
512,3,2048,2048,0,1,3,99.1828866,81.74983621,12.14039636,0.0434191227,4312.299417,1424,11667,12.205%,242.2887678,
512,3,2048,2048,0,2,1,104.618633,87.06736851,12.22935176,0.04340720177,4548.636219,1616,11667,13.851%,246.2819471,
512,3,2048,2048,0,2,2,106.9853258,88.75865793,12.7536993,0.0443944931,4651.535905,1590,11667,13.628%,246.2823157,
512,3,2048,2048,0,2,3,106.4617476,89.04684496,12.12636852,0.04360103607,4628.771637,1630,11667,13.971%,246.28262,
512,1,2048,2048,0,1,1,124.170,103.440,14.790,0.050,4434.750,1923,14000,13.736%,130.160,1613399486
512,1,2048,2048,0,1,2,123.850,103.490,14.440,0.050,4423.130,1896,14000,13.543%,130.160,1613399486
512,1,2048,2048,0,1,3,123.840,102.100,15.380,0.050,4422.980,2104,14000,15.029%,129.800,1612365021
512,1,2048,2048,0,2,1,138.880,118.730,14.290,0.050,4959.910,1946,14000,13.900%,145.440,1613399486
512,1,2048,2048,0,2,2,136.610,116.500,14.300,0.060,4878.810,2029,14000,14.493%,145.440,1613399486
512,1,2048,2048,0,2,3,123.110,102.570,14.530,0.050,4396.770,2264,14000,16.171%,129.340,1612365021
512,2,2048,2048,0,1,1,124.360,103.290,14.880,0.050,4441.410,1945,14000,13.893%,129.680,1613399123
512,2,2048,2048,0,1,2,123.400,103.190,14.350,0.050,4407.110,1896,14000,13.543%,129.680,1613399124
512,2,2048,2048,0,1,3,123.320,102.880,14.490,0.050,4404.460,1917,14000,13.693%,130.160,1613399486
512,2,2048,2048,0,2,1,130.180,109.500,14.620,0.050,4649.350,2091,14000,14.936%,136.800,1613399123
512,2,2048,2048,0,2,2,127.940,107.450,14.550,0.050,4569.340,2015,14000,14.393%,136.800,1613399124
512,2,2048,2048,0,2,3,136.800,116.640,14.290,0.060,4885.600,1702,14000,12.157%,145.440,1613399486
512,3,2048,2048,0,1,1,123.480,101.760,15.350,0.050,4410.130,2108,14000,15.057%,129.800,1612365022
512,3,2048,2048,0,1,2,121.430,100.980,14.490,0.050,4336.690,2001,14000,14.293%,129.800,1612365023
512,3,2048,2048,0,1,3,121.870,101.970,14.160,0.050,4352.580,1892,14000,13.514%,129.680,1613399123
512,3,2048,2048,0,2,1,122.190,100.860,15.050,0.050,4363.950,2233,14000,15.950%,129.340,1612365022
512,3,2048,2048,0,2,2,122.860,102.000,14.800,0.050,4387.920,2284,14000,16.314%,129.340,1612365023
512,3,2048,2048,0,2,3,127.660,107.580,14.260,0.050,4559.220,2049,14000,14.636%,136.800,1613399123
512,1,2048,1024,1024,1,1,39.910,16.430,17.020,0.120,1735.060,269,11667,2.306%,180.370,
512,1,2048,1024,1024,1,2,39.750,16.500,16.580,0.110,1728.470,254,11667,2.177%,180.370,
512,1,2048,1024,1024,1,3,39.850,15.830,17.260,0.100,1732.550,237,11667,2.031%,180.230,
512,1,2048,1024,1024,2,1,44.540,21.400,16.650,0.110,1936.410,380,11667,3.257%,185.760,
512,1,2048,1024,1024,2,2,44.780,20.920,17.130,0.100,1947.100,384,11667,3.291%,185.760,
512,1,2048,1024,1024,2,3,43.870,19.940,17.330,0.110,1907.320,350,11667,3.000%,183.670,
512,2,2048,1024,1024,1,1,39.550,16.660,16.450,0.110,1719.600,273,11667,2.340%,180.230,
512,2,2048,1024,1024,1,2,39.930,16.510,16.200,0.140,1736.100,246,11667,2.109%,182.460,
512,2,2048,1024,1024,1,3,38.070,15.490,16.290,0.110,1655.360,242,11667,2.074%,180.370,
