Batch Size,Trial #,Epoch,Node,Data Loading Time (s),Disk Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,290.889,278.401,12647.342,432.192
512,1,1,2,267.462,259.031,11628.774,432.208
512,1,1,3,283.035,272.655,12305.860,432.264
512,1,2,1,194.621,184.606,8461.803,336.601
512,1,2,2,184.223,176.356,8009.716,336.599
512,1,2,3,188.263,179.593,8185.359,336.601
512,2,1,1,177.405,167.549,7713.263,319.103
512,2,1,2,165.303,157.718,5144.570,319.101
512,2,1,3,173.877,165.414,7559.863,319.106
512,2,2,1,124.668,115.851,5420.338,264.243
512,2,2,2,118.325,111.601,5144.570,264.244
512,2,2,3,115.578,107.820,5025.133,264.241
512,3,1,1,110.686,102.099,4812.426,254.495
512,3,1,2,106.448,99.798,4628.169,254.493
512,3,1,3,108.806,101.080,4730.690,254.494
512,3,2,1,79.062,71.007,3437.474,220.419
512,3,2,2,75.451,68.947,3280.499,220.419
512,3,2,3,77.522,70.209,3370.537,220.419
