Batch Size,Trial #,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,652.467,642.226,28368.119,798.122
512,1,1,2,646.716,640.631,28118.087,798.126
512,1,1,3,638.425,632.115,27757.598,798.121
512,1,2,1,651.678,641.261,28333.808,792.808
512,1,2,2,636.516,630.491,27674.611,792.807
512,1,2,3,635.492,629.402,27630.103,792.808
512,2,1,1,656.559,645.924,28546.046,798.258
512,2,1,2,638.414,632.331,27757.152,798.257
512,2,1,3,645.719,639.039,28074.721,798.262
512,2,2,1,646.244,635.708,28097.552,788.166
512,2,2,2,624.072,618.034,27133.579,788.166
512,2,2,3,627.315,620.686,27274.565,788.165
512,3,1,1,647.515,637.059,28152.843,792.078
512,3,1,2,640.097,633.939,27830.318,792.077
512,3,1,3,635.429,628.772,27627.368,792.078
512,3,2,1,645.593,635.192,28069.260,791.621
512,3,2,2,635.865,629.705,27646.286,791.620
512,3,2,3,632.158,625.652,27485.130,791.620
