Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,1,512,1,1,304.450,285.620,12.490,0.090,13237.100,5578,11667,47.810%,451.930
512,1024,1,512,1,2,302.920,283.660,12.690,0.080,13170.300,5517,11667,47.287%,451.940
512,1024,1,512,1,3,303.800,284.750,12.570,0.090,13208.680,5654,11667,48.461%,451.930
512,1024,1,512,2,1,295.830,277.130,12.440,0.090,12862.020,5526,11667,47.364%,441.590
512,1024,1,512,2,2,292.800,272.730,13.280,0.080,12730.590,5463,11667,46.824%,441.590
512,1024,1,512,2,3,291.810,272.740,12.630,0.090,12687.610,5492,11667,47.073%,441.590
512,1024,2,512,1,1,308.990,290.130,12.480,0.090,13434.330,5507,11667,47.202%,457.060
512,1024,2,512,1,2,317.710,298.130,12.920,0.080,13813.450,5551,11667,47.579%,465.200
512,1024,2,512,1,3,301.880,282.790,12.600,0.090,13125.110,5430,11667,46.542%,457.090
512,1024,2,512,2,1,305.150,286.190,12.600,0.090,13267.430,5601,11667,48.007%,449.010
512,1024,2,512,2,2,297.790,278.140,13.010,0.090,12947.290,5467,11667,46.859%,442.420
512,1024,2,512,2,3,301.250,282.170,12.630,0.090,13097.620,5534,11667,47.433%,449.010
512,1024,3,512,1,1,317.570,298.710,12.480,0.090,13807.400,5615,11667,48.127%,465.200
512,1024,3,512,1,2,311.170,291.400,13.030,0.090,13529.130,5550,11667,47.570%,457.060
512,1024,3,512,1,3,312.470,293.330,12.610,0.080,13585.540,5517,11667,47.287%,465.190
512,1024,3,512,2,1,294.410,275.460,12.590,0.080,12800.640,5500,11667,47.142%,442.420
512,1024,3,512,2,2,297.620,278.190,12.820,0.080,12940.150,5443,11667,46.653%,449.010
512,1024,3,512,2,3,297.040,277.940,12.650,0.090,12914.670,5513,11667,47.253%,442.420
512,1024,1,1024,1,1,136.150,117.360,12.840,0.080,5919.400,2264,11667,19.405%,277.050
512,1024,1,1024,1,2,141.230,121.280,13.510,0.090,6140.630,2184,11667,18.719%,280.010
512,1024,1,1024,1,3,138.230,119.960,12.460,0.090,6009.890,2206,11667,18.908%,280.010
512,1024,1,1024,2,1,138.080,119.120,12.920,0.080,6003.640,2322,11667,19.902%,278.500
512,1024,1,1024,2,2,141.820,121.900,13.570,0.090,6166.270,2265,11667,19.414%,281.810
512,1024,1,1024,2,3,137.040,118.840,12.490,0.080,5958.060,2192,11667,18.788%,281.800
512,1024,2,1024,1,1,136.750,117.460,13.100,0.080,5945.580,2329,11667,19.962%,277.110
512,1024,2,1024,1,2,137.470,118.290,13.000,0.080,5977.050,2281,11667,19.551%,277.050
512,1024,2,1024,1,3,135.950,117.470,12.680,0.080,5911.030,2274,11667,19.491%,277.040
512,1024,2,1024,2,1,137.660,118.980,12.770,0.080,5985.290,2327,11667,19.945%,278.650
512,1024,2,1024,2,2,138.120,118.670,13.190,0.080,6005.070,2348,11667,20.125%,278.500
512,1024,2,1024,2,3,137.200,118.820,12.670,0.080,5965.330,2339,11667,20.048%,278.510
512,1024,3,1024,1,1,136.980,118.700,12.520,0.080,5955.650,2101,11667,18.008%,280.010
512,1024,3,1024,1,2,135.030,116.400,12.700,0.080,5870.660,2374,11667,20.348%,277.110
512,1024,3,1024,1,3,136.840,118.310,12.560,0.090,5949.440,2336,11667,20.022%,277.110
512,1024,3,1024,2,1,138.180,119.950,12.440,0.080,6007.840,2209,11667,18.934%,281.800
512,1024,3,1024,2,2,135.650,116.980,12.800,0.080,5897.730,2309,11667,19.791%,278.650
512,1024,3,1024,2,3,138.050,119.610,12.650,0.090,6002.360,2322,11667,19.902%,278.650
512,1024,1,1536,1,1,134.370,115.950,12.600,0.080,5842.000,2282,11667,19.559%,277.250
512,1024,1,1536,1,2,139.910,119.980,13.500,0.080,6083.160,2300,11667,19.714%,278.150
512,1024,1,1536,1,3,136.810,118.240,12.670,0.080,5948.420,2359,11667,20.219%,277.250
512,1024,1,1536,2,1,137.150,118.190,12.920,0.080,5963.070,2461,11667,21.094%,277.360
512,1024,1,1536,2,2,144.770,124.690,13.650,0.080,6294.280,2427,11667,20.802%,285.270
512,1024,1,1536,2,3,136.230,117.670,12.630,0.090,5923.140,2414,11667,20.691%,277.350
512,1024,2,1536,1,1,135.070,116.560,12.590,0.080,5872.610,2269,11667,19.448%,278.150
512,1024,2,1536,1,2,138.830,119.380,13.180,0.090,6036.270,2448,11667,20.982%,277.250
512,1024,2,1536,1,3,135.780,117.430,12.570,0.080,5903.340,2406,11667,20.622%,277.510
512,1024,2,1536,2,1,136.470,117.940,12.610,0.080,5933.590,2389,11667,20.477%,285.270
512,1024,2,1536,2,2,138.530,119.270,13.120,0.080,6022.920,2474,11667,21.205%,277.350
512,1024,2,1536,2,3,135.470,116.870,12.780,0.080,5889.980,2462,11667,21.102%,280.770
512,1024,3,1536,1,1,134.990,116.640,12.500,0.080,5869.060,2374,11667,20.348%,277.510
512,1024,3,1536,1,2,136.990,118.350,12.750,0.080,5955.950,2401,11667,20.579%,277.510
512,1024,3,1536,1,3,136.330,117.950,12.580,0.080,5927.550,2281,11667,19.551%,278.150
512,1024,3,1536,2,1,136.460,118.650,12.170,0.080,5933.030,2497,11667,21.402%,280.770
512,1024,3,1536,2,2,140.940,122.150,12.850,0.090,6127.750,2568,11667,22.011%,280.770
512,1024,3,1536,2,3,138.440,119.920,12.690,0.080,6018.970,2380,11667,20.399%,285.270
512,1024,1,2048,1,1,129.810,112.915,11.625,0.086,5643.905,1995,11667,17.100%,275.675
512,1024,1,2048,1,2,138.289,119.263,12.994,0.097,6012.573,2096,11667,17.965%,275.676
512,1024,1,2048,1,3,127.907,111.400,11.276,0.098,5561.184,2040,11667,17.485%,275.682
512,1024,1,2048,2,1,133.350,116.508,11.568,0.082,5797.834,2096,11667,17.965%,281.769
512,1024,1,2048,2,2,143.675,124.292,13.196,0.089,6246.724,2262,11667,19.388%,281.768
512,1024,1,2048,2,3,129.330,113.172,11.070,0.093,5623.037,2044,11667,17.519%,281.767
