Batch Size,Trial #,Epoch,Node,Data Loading Time (s),Disk Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,69.054,62.793,2466.225,79.174
512,1,1,2,70.868,64.771,2530.986,79.174
512,1,1,3,67.842,61.847,2422.919,79.174
512,1,2,1,48.122,41.983,1718.650,59.321
512,1,2,2,50.508,44.594,1803.842,59.322
512,1,2,3,46.647,40.786,1665.951,59.322
512,2,1,1,106.584,100.125,3806.564,121.973
512,2,1,2,110.346,104.116,3940.927,121.972
512,2,1,3,107.402,101.154,3835.782,121.973
512,2,2,1,75.333,69.031,2690.467,87.329
512,2,2,2,78.064,71.998,2788.017,87.329
512,2,2,3,74.141,68.064,2647.890,87.329
512,3,1,1,172.567,165.717,6163.092,188.503
512,3,1,2,179.232,172.640,6401.130,188.503
512,3,1,3,171.936,165.392,6140.575,188.503
512,3,2,1,121.537,114.994,4340.599,135.422
512,3,2,2,125.206,118.878,4471.658,135.423
512,3,2,3,120.282,113.998,4295.786,135.422
1024,1,1,1,44.147,38.071,3153.382,53.475
1024,1,1,2,47.117,41.138,3365.516,53.476
1024,1,1,3,43.073,37.214,3076.609,53.478
1024,1,2,1,30.983,24.983,2213.074,38.837
1024,1,2,2,33.070,27.118,2362.130,38.837
1024,1,2,3,29.742,23.949,2124.446,38.835
1024,2,1,1,28.544,22.548,2038.854,37.335
1024,2,1,2,29.648,23.769,2117.684,37.334
1024,2,1,3,32.158,26.273,2297.007,37.335
1024,2,2,1,21.063,15.089,1504.524,27.983
1024,2,2,2,21.852,16.064,1560.833,27.984
1024,2,2,3,20.330,14.552,1452.155,27.984
1024,3,1,1,19.598,13.702,1399.884,26.293
1024,3,1,2,20.137,14.437,1438.371,26.293
1024,3,1,3,19.132,13.398,1366.602,26.293
1024,3,2,1,15.612,9.718,1115.145,21.499
1024,3,2,2,15.657,9.971,1118.393,21.499
1024,3,2,3,15.124,9.434,1080.306,21.500
