Batch Size,Trial #,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Data Loading Time Per Batch (ms),Epoch Run Time (s)
512,1,1,1,815.588,808.617,29128.155,829.458
512,1,1,2,803.626,797.835,28700.942,829.458
512,1,1,3,800.768,794.789,28598.844,829.458
512,1,2,1,761.641,754.971,27201.465,781.310
512,1,2,2,761.081,755.328,27181.481,781.310
512,1,2,3,762.661,755.492,27237.909,781.309
512,2,1,1,767.012,760.372,27393.276,783.714
512,2,1,2,767.915,762.013,27425.529,783.714
512,2,1,3,764.435,758.301,27301.235,783.714
512,2,2,1,761.916,755.373,27211.276,776.773
512,2,2,2,760.425,754.533,27158.039,776.773
512,2,2,3,758.523,752.603,27090.118,776.773
512,3,1,1,774.060,767.514,27645.017,788.557
512,3,1,2,768.338,762.516,27440.643,788.557
512,3,1,3,772.292,765.640,27581.843,788.557
512,3,2,1,770.814,764.274,27529.064,784.285
512,3,2,2,761.542,755.727,27197.916,784.286
512,3,2,3,770.640,762.957,27522.875,784.286
1024,1,1,1,673.657,666.255,48118.351,697.896
1024,1,1,2,688.005,680.862,49143.231,697.896
1024,1,1,3,675.258,668.688,48232.740,697.896
1024,1,2,1,672.437,662.988,47842.913,684.790
1024,1,2,2,672.437,665.045,48031.204,684.790
1024,1,2,3,670.792,664.652,48232.740,684.790
1024,2,1,1,762.243,756.189,54445.895,777.544
1024,2,1,2,759.915,753.565,54279.614,777.545
1024,2,1,3,761.051,755.319,54360.781,777.544
1024,2,2,1,774.440,768.688,55317.130,791.544
1024,2,2,2,780.676,774.540,55762.547,791.544
1024,2,2,3,765.836,760.228,54702.581,791.544
1024,3,1,1,786.792,781.155,56199.409,803.944
1024,3,1,2,793.944,787.870,56710.285,803.944
1024,3,1,3,792.638,786.762,56617.006,803.944
1024,3,2,1,716.233,710.632,51159.481,733.527
1024,3,2,2,720.976,715.007,51498.267,733.526
1024,3,2,3,718.441,712.729,51317.231,733.526
