Batch Size,Trial #,Cache Size,Minimum Queue Size,Epoch,Node,Data Loading Time (s),GCP Loading Time (s),Cache Loading Time (s),Prefetch Comms Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1,512,128,1,1,396.090,373.000,15.660,0.130,14146.200,6781,14000,48.436%,412.080
512,1,512,128,1,2,388.450,363.790,16.600,0.130,13873.380,6772,14000,48.371%,412.060
512,1,512,128,1,3,392.860,367.510,16.970,0.130,14030.860,6683,14000,47.736%,411.930
512,1,512,128,2,1,378.230,355.750,15.490,0.100,13508.190,6758,14000,48.271%,395.170
512,1,512,128,2,2,381.370,356.320,17.100,0.100,13620.320,6773,14000,48.379%,395.170
512,1,512,128,2,3,372.870,350.350,15.510,0.090,13316.690,6693,14000,47.807%,395.170
512,2,512,128,1,1,377.370,354.670,15.610,0.100,13477.610,6690,14000,47.786%,403.680
512,2,512,128,1,2,391.620,367.820,16.400,0.100,13986.540,6773,14000,48.379%,403.680
512,2,512,128,1,3,390.460,365.580,16.880,0.100,13944.860,6763,14000,48.307%,403.680
512,2,512,128,2,1,369.080,346.310,15.750,0.100,13181.340,6724,14000,48.029%,387.800
512,2,512,128,2,2,373.270,349.170,16.710,0.100,13330.910,6714,14000,47.957%,387.800
512,2,512,128,2,3,375.470,349.770,17.490,0.100,13409.810,6761,14000,48.293%,387.800
512,3,512,128,1,1,386.070,363.030,15.850,0.100,13788.250,6732,14000,48.086%,405.690
512,3,512,128,1,2,387.470,363.910,16.250,0.100,13838.360,6771,14000,48.364%,405.690
512,3,512,128,1,3,396.300,370.250,17.610,0.090,14153.420,6749,14000,48.207%,405.690
512,3,512,128,2,1,384.490,360.880,16.050,0.100,13731.790,6794,14000,48.529%,396.520
512,3,512,128,2,2,376.750,353.080,16.390,0.100,13455.440,6656,14000,47.543%,396.510
512,3,512,128,2,3,379.110,354.550,16.750,0.100,13539.740,6679,14000,47.707%,396.510
512,1,1024,256,1,1,150.831,129.866,14.216,0.131,5881.202,2389,14000,17.064%,170.785
512,1,1024,256,1,2,164.674,140.301,16.405,0.145,5881.202,2528,14000,18.057%,170.807
512,1,1024,256,1,3,158.655,135.824,15.623,0.126,5666.233,2463,14000,17.593%,170.797
512,1,1024,256,2,1,144.492,124.589,13.990,0.090,5160.424,2502,14000,17.871%,168.719
512,1,1024,256,2,2,163.560,139.775,16.499,0.111,5841.422,2728,14000,19.486%,168.720
512,1,1024,256,2,3,157.567,135.237,15.620,0.098,5627.387,2731,14000,19.507%,168.720
512,2,1024,256,1,1,148.557,128.196,14.327,0.090,5305.593,2415,14000,17.250%,169.747
512,2,1024,256,1,2,164.571,140.950,16.417,0.111,5877.541,2557,14000,18.264%,169.747
512,2,1024,256,1,3,158.480,135.994,15.751,0.097,5659.998,2504,14000,17.886%,169.747
512,2,1024,256,2,1,145.345,125.490,14.087,0.086,5190.886,2479,14000,17.707%,169.869
512,2,1024,256,2,2,164.749,140.796,16.569,0.112,5883.905,2741,14000,19.579%,169.869
512,2,1024,256,2,3,159.178,136.734,15.749,0.100,5684.940,2684,14000,19.171%,169.869
512,3,1024,256,1,1,143.775,124.157,13.771,0.087,5134.819,2444,14000,17.457%,166.585
512,3,1024,256,1,2,160.466,136.957,16.346,0.109,5730.946,2599,14000,18.564%,166.585
512,3,1024,256,1,3,159.143,136.425,15.861,0.094,5683.689,2648,14000,18.914%,166.585
512,3,1024,256,2,1,142.856,123.257,13.702,0.085,5101.994,2639,14000,18.850%,165.528
512,3,1024,256,2,2,159.097,135.652,16.286,0.108,5682.037,2898,14000,20.700%,165.528
512,3,1024,256,2,3,159.550,136.387,16.195,0.098,5698.228,2889,14000,20.636%,165.528
512,1,2048,512,1,1,152.970,130.560,15.600,0.090,5463.060,2857,14000,20.407%,162.450
512,1,2048,512,1,2,157.360,134.160,16.180,0.100,5619.830,2919,14000,20.850%,162.450
512,1,2048,512,1,3,151.880,130.230,15.060,0.090,5424.420,2912,14000,20.800%,162.450
512,1,2048,512,2,1,153.280,130.830,15.670,0.100,5474.160,3074,14000,21.957%,164.020
512,1,2048,512,2,2,158.650,135.470,16.190,0.100,5665.960,3115,14000,22.250%,164.020
512,1,2048,512,2,3,151.050,129.410,15.090,0.090,5394.680,3117,14000,22.264%,164.020
512,2,2048,512,1,1,154.550,132.350,15.460,0.090,5519.580,2877,14000,20.550%,162.360
512,2,2048,512,1,2,156.810,133.680,16.100,0.090,5600.210,2966,14000,21.186%,162.360
512,2,2048,512,1,3,156.200,133.020,16.100,0.090,5578.710,2960,14000,21.143%,162.360
512,2,2048,512,2,1,154.820,132.520,15.570,0.090,5529.200,3194,14000,22.814%,163.450
512,2,2048,512,2,2,156.710,133.570,16.140,0.100,5596.710,3251,14000,23.221%,163.450
512,2,2048,512,2,3,157.140,134.390,15.890,0.090,5612.020,3270,14000,23.357%,163.450
512,3,2048,512,1,1,154.470,132.010,15.630,0.090,5516.670,2967,14000,21.193%,162.050
512,3,2048,512,1,2,156.360,133.320,16.080,0.100,5584.260,2925,14000,20.893%,162.050
512,3,2048,512,1,3,153.210,131.510,15.150,0.090,5471.960,2882,14000,20.586%,162.050
