Batch Size,Fetch Size,Trial #,Cache Size,Epoch,Node,Data Loading Time (s),Data Loading Time Per Batch (ms),Number of Misses,Number of Accesses,Miss Rate,Epoch Run Time (s)
512,1024,1,512,1,1,404.010,14428.880,6740,14000,48.143%,426.080
512,1024,1,512,1,2,403.990,14428.330,6749,14000,48.207%,426.080
512,1024,1,512,1,3,409.640,14629.820,6711,14000,47.936%,426.040
512,1024,1,512,2,1,366.090,13074.480,6739,14000,48.136%,380.340
512,1024,1,512,2,2,363.410,12978.870,6788,14000,48.486%,380.340
512,1024,1,512,2,3,368.370,13156.010,6763,14000,48.307%,380.340
512,1024,2,512,1,1,367.250,13116.100,6780,14000,48.429%,376.700
512,1024,2,512,1,2,362.390,12942.540,6834,14000,48.814%,376.700
512,1024,2,512,1,3,365.870,13066.690,6762,14000,48.300%,376.700
512,1024,2,512,2,1,358.560,12805.720,6757,14000,48.264%,368.280
512,1024,2,512,2,2,354.360,12655.590,6791,14000,48.507%,368.280
512,1024,2,512,2,3,358.660,12809.440,6780,14000,48.429%,368.280
512,1024,3,512,1,1,365.050,13037.520,6742,14000,48.157%,379.430
512,1024,3,512,1,2,364.230,13008.320,6750,14000,48.214%,379.430
512,1024,3,512,1,3,366.510,13089.690,6764,14000,48.314%,379.430
512,1024,3,512,2,1,362.780,12956.420,6768,14000,48.343%,375.020
512,1024,3,512,2,2,345.730,12347.530,6797,14000,48.550%,375.020
512,1024,3,512,2,3,349.680,12488.670,6757,14000,48.264%,375.020
512,1024,1,1024,1,1,164.896,5889.154,2943,14000,21.021%,176.002
512,1024,1,1024,1,2,169.046,6037.356,2965,14000,21.179%,176.002
512,1024,1,1024,1,3,170.243,6080.105,3024,14000,21.600%,176.002
512,1024,1,1024,2,1,165.860,5923.555,3256,14000,23.257%,175.304
512,1024,1,1024,2,2,166.997,5964.169,3198,14000,22.843%,175.304
512,1024,1,1024,2,3,167.850,5994.659,3224,14000,23.029%,175.304
512,1024,2,1024,1,1,165.458,5909.215,2762,14000,19.729%,194.635
512,1024,2,1024,1,2,173.715,6204.112,2889,14000,20.636%,194.636
512,1024,2,1024,1,3,180.869,6459.596,2994,14000,21.386%,194.635
512,1024,2,1024,2,1,166.962,5962.939,2937,14000,20.979%,176.212
512,1024,2,1024,2,2,167.775,5991.957,2903,14000,20.736%,176.212
512,1024,2,1024,2,3,169.203,6042.968,2948,14000,21.057%,176.212
512,1024,3,1024,1,1,165.652,5916.145,2714,14000,19.386%,175.466
512,1024,3,1024,1,2,166.779,5956.402,2735,14000,19.536%,175.465
512,1024,3,1024,1,3,169.957,6069.891,2765,14000,19.750%,175.465
512,1024,3,1024,2,1,168.614,6021.923,2484,14000,17.743%,178.978
512,1024,3,1024,2,2,170.516,6089.874,2496,14000,17.829%,178.978
512,1024,3,1024,2,3,172.609,6164.616,2536,14000,18.114%,178.978
512,1024,1,1536,1,1,164.820,5886.432,3012,14000,21.514%,174.550
512,1024,1,1536,1,2,165.372,5906.130,2961,14000,21.150%,174.551
512,1024,1,1536,1,3,168.472,6016.869,3029,14000,21.636%,174.550
512,1024,1,1536,2,1,165.306,5903.780,3258,14000,23.271%,176.138
512,1024,1,1536,2,2,169.856,6066.280,3282,14000,23.443%,176.138
512,1024,1,1536,2,3,169.623,6057.964,3268,14000,23.343%,176.138
512,1024,2,1536,1,1,165.158,5898.491,3090,14000,22.071%,177.125
512,1024,2,1536,1,2,169.484,6052.995,3134,14000,22.386%,177.125
512,1024,2,1536,1,3,170.239,6079.952,3144,14000,22.457%,177.126
512,1024,2,1536,2,1,165.338,5904.932,3282,14000,23.443%,174.005
512,1024,2,1536,2,2,167.718,5989.943,3316,14000,23.686%,174.005
512,1024,2,1536,2,3,168.027,6000.955,3315,14000,23.679%,174.006
512,1024,3,1536,1,1,163.043,5822.964,3089,14000,22.064%,173.125
512,1024,3,1536,1,2,167.025,5965.194,3085,14000,22.036%,173.126
512,1024,3,1536,1,3,167.265,5973.742,3103,14000,22.164%,173.125
512,1024,3,1536,2,1,164.200,5864.284,3212,14000,22.943%,175.674
512,1024,3,1536,2,2,168.054,6001.923,3254,14000,23.243%,175.673
512,1024,3,1536,2,3,168.647,6023.109,3344,14000,23.886%,175.675
512,1024,1,2048,1,1,166.700,5953.490,3145,14000,22.464%,173.740
512,1024,1,2048,1,2,163.970,5856.020,3052,14000,21.800%,173.740
512,1024,1,2048,1,3,168.030,6001.100,3189,14000,22.779%,173.740
512,1024,1,2048,2,1,166.990,5964.040,3395,14000,24.250%,173.100
512,1024,1,2048,2,2,163.040,5822.800,3273,14000,23.379%,173.100
512,1024,1,2048,2,3,166.830,5958.120,3342,14000,23.871%,173.100
